tweet_id,user_id,user_pseudo,user_name,date_and_time,content,nb_replies,nb_retweets,nb_jaime
553293161683255298,1920966108,TeamRickyWilson,Team Kaisers,12:52 - 8 janv. 2015,Are you ready to go? http://youtu.be/5V2Zugp988Q  #TheVoiceUK,0,7,1
553287834413854722,107266777,RJW0009,Ross,12:31 - 8 janv. 2015,So 50% of the judging panel of #thevoiceuk can sing. That's 100% more then the other popular singing talent show on TV.,0,0,1
553287833268793346,45541231,4Music,4Music,12:31 - 8 janv. 2015,Watch our vid where #TheVoiceUK coaches chat whether the talent show can produce a star: http://bit.ly/1w3N0pH ,2,2,1
553280619950915584,2696140063,PortalRitabots,Ritabots Brasil,12:02 - 8 janv. 2015,Attention #TeamRita! We have a message from your lovely leader @RitaOra ... #TheVoiceUK https://www.facebook.com/video.php?v=644180035687098&set=vb.102331423205298&type=2&theater …,0,0,1
553245039888187393,331204870,DannyCohen,Danny Cohen,09:41 - 8 janv. 2015,#theVoiceUK returns to  @BBCOne this Saturday! Trail here:,3,8,1
553242394851028992,1045115198,RitaOra_Support,RitaOra_Support,09:30 - 8 janv. 2015,@RitaOra when on Saturday is it on air ? #thevoiceuk #TeamRita,1,1,0
553240589895217152,506809015,RitaOraUSA,Rita Ora USA,09:23 - 8 janv. 2015,Who else can't wait to see @RitaOra be a judge on #TheVoiceUk this Saturday! #TeamRita,0,4,9
553236720758845440,364955269,_OliverBennett,Oliver Bennett,09:08 - 8 janv. 2015,Look how gorgeous she looks !! Can't wait for Saturday  @RitaOra #TheVoiceUK ,0,1,3
553235316895928320,1920966108,TeamRickyWilson,Team Kaisers,09:02 - 8 janv. 2015,What happened when @digitalspy went backstage at the #TheVoiceUK Blind Auditions: http://go.dspy.me/t65p ,1,7,1
553206130605043712,21433386,troopdelaloop,miss troop,07:06 - 8 janv. 2015,"It's aaaaaaall happening this Saturday, 7pm... Download the app & be a home coach! #thevoiceuk https://www.youtube.com/watch?v=eVyZooM1Mck …",0,0,1
553195755687915521,407941641,MrCelebUK,MrCelebUK,06:25 - 8 janv. 2015,@BBCTheVoiceUK is back!!! Here's a first look http://www.youtube.com/watch?v=eVyZooM1Mck&sns=em … #TheVoiceUK,0,0,1
553194473690529792,1045115198,RitaOra_Support,RitaOra_Support,06:20 - 8 janv. 2015,#TeamRita #TheVoiceUk ,0,2,1
553190786695966720,369504509,BBCTheVoiceUK,BBC The Voice UK,06:05 - 8 janv. 2015,Back this Saturday...                      #THEVOICEUK      R       R      O W I L L . I . A M     C       T     K       A     Y,1,9,1
553186642497138688,114181419,tellymix,TellyMix,05:49 - 8 janv. 2015,#TheVoiceUK! Watch a first look at this weekend's opening blind auditions show: http://ow.ly/GZwtq ,0,1,2
553159719444291584,264163779,MiLKMANAGEMENT,MiLK MANAGEMENT,04:02 - 8 janv. 2015,Excited for @BBCTheVoiceUK to start on Saturday with MiLK's very own @Rickontour #TeamRicky #thevoiceuk ,0,0,3
553159061836152833,884738820,kirstyora15xx,Kirsty :),03:59 - 8 janv. 2015,I cant wait to see my girl @RitaOra on #thevoiceuk omggg so excited ,0,0,1
553158755215761408,930613016,kezmullen93,Kerry 🌹,03:58 - 8 janv. 2015,2 DAYS TO GO!! I cannot explain how excited I am  #TeamRita #TheVoiceUK @RitaOra,0,1,8
553157560212406272,27725199,RitaOra,Rita Ora,03:53 - 8 janv. 2015,2 days to go!! @BBCTheVoiceUK #TeamRita #excited #thevoiceuk ,8,6,1
553156640682541056,214862061,Eyeeye72,Lorna✏️,03:49 - 8 janv. 2015,@musicisfab71 excited for the 'THERE WE ARE!' moment behind @iamwill on Saturday for #thevoiceuk,1,0,2
553156138360139776,102767129,MaryMRobin,MaryM Robin ✒📝 ☕,03:47 - 8 janv. 2015,"#thevoiceuk  back on this Saturday, were are previous year's winners, can't even remember their names, Oh what a waste of time this show is.",0,0,1
553338296966082561,55631439,FabsCiccone,Rebel Lover 🇮🇹,15:51 - 8 janv. 2015,"Wow did u guys watch @RitaOra video presentation 4 BBC1 #thevoiceuk?She was asked who her musical heroes where? freddy, Gwen Steph&Bey? M?",0,0,0
553332115618930688,2229344603,lorna9390,Lorna Craig,15:27 - 8 janv. 2015,Ppl complained about #RitaOra on #thevoiceuk coz she showed a wee bit boob... seriously av seen more flesh on an omish person ffs #getalife,0,0,0
553319842133327872,306386852,TunefulTV,Natalia Anderson,14:38 - 8 janv. 2015,Hey @JessieJ! Will you be watching #TheVoiceUK? I'm gonna be doing my #TunefulTVReviews again! Here's my intro vid https://www.youtube.com/watch?v=VRQnUwhc0tY … x,0,0,0
553312879651590145,515541735,BetVictor,BetVictor,14:10 - 8 janv. 2015,Winning Manager @BBCTheVoiceUK 2015  @RealSirTomJones 9/4 @RitaOra 5/2 @iamwill 5/2 @Rickontour 11/4  http://bit.ly/YH7b3z  #thevoiceuk,0,0,0
553291257691537408,977210126,iamwill_LA,WilliamLatinoAmerica,12:44 - 8 janv. 2015,Mira el super exclusivo del performance de los jueces de BBC The Voice UK 4  #TheVoiceUK #TeamWill http://fb.me/433CkDUsU ,0,0,1
