tweet_id,user_id,user_pseudo,user_name,date_and_time,content,nb_replies,nb_retweets,nb_jaime
421414988872286208,348552615,HarryMaxwell,Harry Maxwell,14:55 - 9 janv. 2014,"I watched this Saturday's #TheVoiceUK today. It's excellent. Really come into its own as an easy-watching 'nicer' contest, celebrating music",3,1,3
421409074065182720,244368475,bepfanscolombia,BEP Colombia,14:32 - 9 janv. 2014,Falta poco. Este Sábado vuelve The Voice UK 3ra temporada! #TheVoiceUK #iamwill #TeamWill http://instagram.com/p/i9whjDCxGc/ ,0,0,1
421386385351008256,201664833,mathewhbenham,mathew benham,13:01 - 9 janv. 2014,"If you see this t shirt on #TheVoiceUK this Saturday, it's me. Apologies for any camp dancing. ",1,0,1
421386277997379584,72849360,vj71,Vik Smith,13:01 - 9 janv. 2014,Trailer - The Voice UK 2014 - BBC One #thevoiceuk http://www.youtube.com/watch?v=WLg5ir3DZno …,0,1,0
421373366206226432,135463524,1Ali_H,Ali H. 🏳️‍🌈,12:10 - 9 janv. 2014,This is a wee bit good! #CantGetYouOutOfARiot Exclusive performance #TheVoiceUK 2014 #TeamKylie @kylieminogue @BBCOne http://youtu.be/WLg5ir3DZno ,0,1,2
421365188894289920,272445004,TwitCelebGossip,TwitCelebGossip,11:37 - 9 janv. 2014,#CelebGossip : WATCH: The Voice UK 2014: Coach Performance! http://twitcelebgossip.com/the-voice-uk-2014-coach-performance/ … #TheVoiceUK,0,2,2
421363154988171265,236057139,tashaontv,Natasha Louise,11:29 - 9 janv. 2014,"Anyway, that didn't sound horrific a la previous years. #TheVoiceUK",2,0,1
421329601948704768,567157978,NaufalSyafrun,Naufal Syafrun,09:16 - 9 janv. 2014,Only one day to go.... #TheVoiceUK,0,0,0
421326034324430848,369504509,BBCTheVoiceUK,BBC The Voice UK,09:02 - 9 janv. 2014,Saturday. 7pm. Be there… #TheVoiceUK ,1,6,6
421322525633548288,272445004,TwitCelebGossip,TwitCelebGossip,08:48 - 9 janv. 2014,IT'S NEARLY TIME. #CelebGossip : Everything You Need To Know About The Voice UK! http://twitcelebgossip.com/everything-you-need-to-know-about-the-voice-uk/ … #thevoiceuk,1,2,1
421321073414520832,1358904157,MisterNothingUK,MisterNothing,08:42 - 9 janv. 2014,"Mitch will be on @BBCDerby at 7:20am to talk about us, #TheVoiceUK and our first show of the year! Share and RT! ",0,4,2
