tweet_id,user_id,user_pseudo,user_name,date_and_time,content,nb_replies,nb_retweets,nb_jaime
685237566921117696,767280060,dwainehayden,Dwaine Hayden,15:12 - 7 janv. 2016,2 more sleeps :)) Please tune in to see how I do. This Saturday 7:30PM BBC ONE #thevoice #thevoiceuk #thevoiceuk2016,3,1,1
685204679429632004,2970072633,DaBassMonsta,Bass Monster,13:01 - 7 janv. 2016,"Oh look, #TheVoiceUK is returning. They can find another star like, erm, um... wossname and thingummyjig...",1,1,1
685204599553142784,369504509,BBCTheVoiceUK,BBC The Voice UK,13:01 - 7 janv. 2016,"This Saturday at 7.30pm, #thevoiceuk returns. And our mighty foursome join forces for something awesome...",3,1,4
685193776751636482,204300658,KCFM_radio,KCFM,12:18 - 7 janv. 2016,Ryan Willingham from Hull will be on #TheVoiceUK this weekend. He's talking to Matt after 7.30 tomorrow @RyanW1710,3,7,6
685178521614942213,155856786,1ksmedley1,Katie Smedley,11:17 - 7 janv. 2016,#palomafaith #style #hair #goals #idol #gorgeous #teampaloma #bbcthevoice #judge #thevoiceuk… https://www.instagram.com/p/BAP8-wyELSG/ ,0,0,1
685168458007445505,44119382,sean_piggott,Seán Piggott,10:37 - 7 janv. 2016,"@BoyGeorge ""I'll make you so famous, drag queens will impersonate you"" Brilliant! #TheVoiceUK",0,2,3
685163641533022208,22016701,BristolLive,Bristol Live,10:18 - 7 janv. 2016,He has been practicing his scales - #Bristol fishmonger to appear on BBC One's #TheVoiceUK http://tinyurl.com/javcnt9 ,0,4,5
685140450777427968,20518298,BBCSounds,BBC Sounds,08:46 - 7 janv. 2016,Can't wait for the return of @BBCTheVoiceUK this Saturday? Check out the tunes you can look forward to: http://bbc.in/1S6hWpi  #thevoiceuk,0,1,4
685139410220920832,2726321295,superTV247,sᴜᴘᴇʀ ᴛᴠ,08:42 - 7 janv. 2016,Watching #TheVoiceUK photo shoot on @googlecardboard is SO COOL! I was standing right next to them! @BBCTheVoiceUK,0,3,4
685111617009377280,2726321295,superTV247,sᴜᴘᴇʀ ᴛᴠ,06:51 - 7 janv. 2016,This I my favourite  #thevoiceuk  ,0,0,3
685111221570400256,2726321295,superTV247,sᴜᴘᴇʀ ᴛᴠ,06:50 - 7 janv. 2016,"Over 2,000 (!!) photos were taken at #TheVoiceUK press shoot, with only a few being used for press release! ",0,0,0
685103970273067008,28383514,dmrotondo,Denise in I❤️NY,06:21 - 7 janv. 2016,Please! Someone in the UK post #TheVoiceUK on YouTube for those of us who can't watch @BoyGeorge live. Thanks!,4,3,1
685092905380372480,2219972676,Saro_Avakian,Saro Avakian,05:37 - 7 janv. 2016,@JessieJ accidentally pushes her button at #TheVoiceUK ,0,1,3
685084116639985664,135437063,RedBeeMedia,Red Bee Media,05:02 - 7 janv. 2016,Calling all fans of #TheVoiceUK! Check out @RedBeeCreative's latest work here: http://bit.ly/1MPe4B4 . It's almost time! @BBCTheVoiceUK,0,0,1
685051421574565889,17793580,BBCiPlayer,BBC iPlayer,02:52 - 7 janv. 2016,"Hey, quieten down over there, @Iamwill has something to say... #TheVoiceUK http://bbc.in/1O3kVuQ  https://amp.twimg.com/v/a7e8eebe-8d88-45a6-8b3b-2702070417b7 …",0,0,0
685050646723178496,19774598,RichCain,Rich Cain,02:49 - 7 janv. 2016,Big achievement when you get the front page of your home town local paper - Mum will be pleased #TheVoiceUK  ,0,0,1
685046852685664256,369504509,BBCTheVoiceUK,BBC The Voice UK,02:34 - 7 janv. 2016,Only two days until #thevoiceuk returns. @iamwill's so excited he's been stood like this for hours...,7,3,9
685041113271500800,2971210893,ConditionThis,THIS HUMAN CONDITION,02:11 - 7 janv. 2016,"The Voice this year. Let's hope @BoyGeorge comes across well, raises his profile and Tribes is a success.#TheVoiceUK ",0,0,0
685037917048279040,2254917114,Sun_Bingo,Sun Bingo,01:59 - 7 janv. 2016,"Boy George has revealed #TheVoiceUK has attracted their best acts yet, after taking part in a crazy photoshoot! ",0,1,1
685028034164985856,67565712,MaidenheadAds,MaidenheadAdvertiser,01:19 - 7 janv. 2016,Will #Maidenhead singer Beth Morris impress the coaches on #TheVoiceUK this weekend? http://www.maidenhead-advertiser.co.uk/News/Areas/Maidenhead/Maidenhead-singer-will-be-auditioning-on-The-Voice-this-weekend-06012016.htm …,1,1,7
685234359658491905,717644858,PalomaFaithMX,Paloma Faith México,14:59 - 7 janv. 2016,¡ Todo listo para la nueva temporada de #TheVoiceUK !  Este sábado* ¿Listos?  -Dny* http://fb.me/7CQQFD15Q ,0,0,0
685217764412358657,282305602,ColocaTheVoice,Coloca no The Voice,13:53 - 7 janv. 2016,Olha esse show dos técnicos do #TheVoiceUK https://youtu.be/L8MRhVR_so4  Wow!,0,0,0
685206056943906816,479898261,mattvieira_,matt,13:07 - 7 janv. 2016,SOCORRRRO!111 Preview da performance dos coaches no #TheVoiceUK: https://www.youtube.com/watch?v=L8MRhVR_so4 …,0,0,0
685204933096943616,2970072633,DaBassMonsta,Bass Monster,13:02 - 7 janv. 2016,#TheVoiceUK is only good for providing publicity for the judges. They're the only ones getting a career boost from the show.,1,0,0
