ranking,candidate,score
1,@NXTGENOFFICIAL NXT GEN,285.968778740309
2,Jimmy Balito,214.339257519148
3,@NicoleRaquel_D Nicole Dennis,191.597983143718
4,@singmothrtucker SARAH TUCKER,143.368903671188
5,@EmmanuelSmith_ Emmanuel Smith,135.788478879378
6,@RogerSamuels Roger Samuels,126.230551967966
7,@SwatPav Luke Swatman,116.562763827687
8,Deana,102.939971448202
9,@remembermonday_,100.852608099732
10,@Butsy2001 Callum Butterworth,99.6441345821976
11,@iamcedricneal Cedric Neal,98.215938606929
12,Marina Simioni,95.908852800726
13,Stefan Mahendra,95.7989915718592
14,Bethzienna,82.5057828789751
15,Eva Campbell,76.6831377490341
16,@thisismoya moya,68.2238231262896
17,@GabrielDryss Gabriel Dryss,66.4660434644206
18,@CraigForsyth_ Craig Forsyth,62.8406229118159
19,@hocking_molly Molly Hocking,59.6546472746783
20,Ayanam Udoma,39.6599036209188
21,@graceeelatchx Grace Latchford,31.5301726847748
22,@e2o_music,27.7948909033032
23,@XTINAELLINAS Christina Ellinas,24.6089152661657
24,@HarrisenLM,24.1694703506984
25,@Conniejlamb Connie Lamb,21.2032171712945
26,@ItsNikkiAmbers,19.2257150516919
27,@GeorgiaBray_,16.1496006434212
28,@BukkyOronti Bucky Oronti,12.3044576330828
29,@shivonmusic Shivon Kane,9.22834322481212
