id_tweet,id_candidat,sum_rt_com_like,note
1081252009183985665,26,1,2.5
1081162994292277248,2,1,2.8
1081097568548016129,2,1,2.8
1081670510755368960,8,1,4.2
1081665850397114368,8,1,2.5
1081665605797888000,8,1,3.6
1081695697332781056,8,1,2.8
1081680435392974848,8,1,2.8
1081677730943561729,2,1,2.8
1081670537825435649,8,1,2.8
1081665513334419456,7,1,2.8
1081665283763433473,8,1,2.8
1081665260627611648,8,1,2.8
1081665020004585473,8,1,2.8
1081664693100560385,8,1,2.8
1081661467173236738,23,1,2.8
1081657847715381248,7,1,4.2
1081650363428683776,7,1,3.6
1081650015209177092,7,1,3.5
1082026013310308358,2,1,2.8
1081987134200922118,7,1,2.5
1081906937468469248,2,1,2.8
1081885938060529664,8,1,2.8
1081870248146624512,7,1,3.2
1081822696739094528,2,1,2.8
1081893316306837504,2,1,2.8
1082421187114872833,7,1,2.8
1082326932790882304,2,1,2.8
1082290204134858753,7,1,2.8
1082242392344969217,2,1,2.8
1082195467541319681,8,1,2.5
1082359622365822976,8,1,3.5
1082321196052557825,2,1,2.8
1082241697143246848,8,1,2.8
1082213722414821376,23,1,2.8
1082213311918297088,8,1,2.8
1082132922918887425,8,1,2.8
1082132021525209088,8,1,2.8
1082070702663053318,8,1,2.8
1082069894169063426,8,1,2.8
1082714582265856006,7,1,4.2
1082697126604427264,0,1,2.5
1082583204014510081,2,1,2.8
1082431707041722368,2,1,4.5
1083075291881320450,8,1,2.8
1082896645187125248,2,1,2.8
1083476324117708800,7,1,2.8
1083352012429897728,0,1,2.8
1083170606194049026,8,1,2.8
1083861562895548417,16,1,2.8
1083658676555010048,2,1,2.8
1083642418384261120,7,1,2.8
1084214525493235717,0,1,2.8
1084206714080165889,0,1,4.2
1084202308723007489,0,1,2.8
1084200681920253952,15,1,2.8
1084200584163540993,0,1,2.8
1084200542363111425,0,1,2.8
1084200085750276097,0,1,2.8
1084196273706754051,15,1,2.8
1084196237073678337,16,1,2.8
1084195943757635585,16,1,2.8
1084209962061086720,0,1,2.8
1084208623574753281,0,1,2.8
1084194731846975488,2,1,2.8
1084184323627073536,14,1,2.8
1084577932834729987,0,1,2.8
1084531808153362432,0,1,2.8
1084480008817651713,0,1,2.8
1084429795407134720,0,1,2.8
1084378913646788610,0,1,2.8
1084495738611138561,15,1,2.8
1084486787068772352,15,1,2.8
1084748640344829953,15,1,2.8
1084738305126813696,0,1,2.8
1084724139863261184,17,1,2.5
1084785922221187078,0,1,2.8
1084753025800044544,16,1,3.5
1084745535909752832,15,1,2.8
1085260239102976003,26,1,1.8
1085232233395433473,7,1,2.8
1085162725561548802,2,1,3.1
1085106007733354497,2,1,2.8
1084974385084186624,15,1,2.8
1085563939981803521,0,1,2.8
1085485859309346816,0,1,3.5
1086281766464147456,10,1,2.8
1086272989744717832,16,1,2.8
1086266422349758464,15,1,2.8
1086274303228751872,0,1,2.8
1086217898555781120,2,1,2.8
1086737331623772162,11,1,2.8
1086737038685208576,11,1,2.8
1086734623772688384,2,1,2.8
1086733285491904512,30,1,3.5
1086731218543169536,30,1,2.8
1086737044271964160,11,1,2.8
1086733834924769281,2,1,2.8
1086729885081628672,30,1,2.8
1086728201265729537,2,1,2.8
1087107512522993673,10,1,2.8
1087045954447069186,10,1,2.8
1087020160458940417,26,1,2.8
1086986710666244096,11,1,2.8
1086958466441322496,2,1,2.8
1087049961081049088,11,1,2.8
1087027500260225024,2,1,2.8
1086947281365098496,2,1,4.1
1086928056927821824,11,1,2.8
1086915304385585152,10,1,2.8
1087485692039610373,2,1,2.8
1087417291359350785,10,1,2.8
1087279968701304832,8,1,3.5
1087279350439993346,11,1,2.8
1087432628519735302,11,1,2.8
1087424093421518848,11,1,2.8
1087405209926524929,2,1,3.7
1087391909243432960,10,1,2.8
1087381091193896962,26,1,3.1
1087356198364606464,2,1,2.8
1087325067812487168,11,1,3.1
1087324957951049728,2,1,2.8
1087299868182396930,24,1,2.8
1087271080283127811,26,1,2.8
1087444799538544641,1,1,2.8
1087432766210355200,26,1,2.8
1087331526512205824,11,1,2.8
1087311636816375808,30,1,2.8
1087419583949094912,26,1,2.8
1087418392305381377,11,1,2.8
1087283512904949760,1,1,2.8
1087731691853103104,10,1,2.6
1087685695433592833,10,1,2.8
1087701337444360192,11,1,2.8
1087695638282813440,11,1,2.8
1087679585494487043,1,1,2.8
1087633718636933120,26,1,2.8
1087596081943322624,2,1,2.8
1088151743228190720,2,1,2.8
1088074694736121856,10,1,2.8
1087959512236126208,10,1,3.5
1088552133912416257,10,1,2.8
1088554964081917952,10,1,2.8
1088898454804410375,6,1,2.8
1088818077909815299,0,1,2.8
1088773139100770305,2,1,3.1
1088616952749277188,2,1,2.8
1089274780811972608,17,1,2.8
1089274116694331392,17,1,2.8
1089272930536697856,17,1,2.8
1089270483927871488,22,1,3.0
1089266270606934017,12,1,4.5
1089258235171926017,25,1,3.1
1089257321128226817,25,1,2.8
1089255087338336259,6,1,2.8
1089262848935673856,16,1,2.8
1089259458222542853,25,1,2.8
1089256602270658560,10,1,2.5
1089256505814208514,6,1,2.8
1089267095546798080,12,1,2.8
1089259846594121728,25,1,2.5
1089257182590324738,6,1,2.8
1089223242018107394,6,1,2.8
1089259783415349249,25,1,2.8
1089255946088517633,6,1,2.5
1089256716145958914,2,1,2.8
1089254423870754818,2,1,2.5
1089192174489665536,7,1,2.8
1089254569044049921,6,1,2.8
1089254326315433985,2,1,2.8
1089246757165453312,12,1,2.8
1089235230475595776,6,1,2.8
1089231297824858112,17,1,2.8
1089179212873908225,2,1,2.8
1089093430574223360,11,1,2.8
1089089294940155906,10,1,2.8
1089654722125070336,25,1,2.8
1089511937153683456,17,1,2.8
1089466210700460032,25,1,2.8
1089671541070221313,25,1,2.8
1089609174705680384,2,1,2.8
1089602347297370112,6,1,2.8
1089585084099895297,17,1,2.8
1089583493225549825,22,1,4.5
1089578512204349440,30,1,2.5
1089575632957247488,22,1,2.8
1089570840667217924,25,1,2.8
1089531374233702405,2,1,2.8
1089573888730820614,25,1,3.8
1089553358040588288,17,1,2.8
1089455091294322688,17,1,2.8
1089431316553256960,17,1,2.8
1089521059492184064,2,1,2.8
1089483584363286528,12,1,2.8
1089463548886073344,22,1,2.8
1089317338694987776,25,1,4.6
1089317288359194624,24,1,3.5
1089460950351138817,22,1,2.5
1089319381098815488,22,1,2.8
1089470443768160263,6,1,2.8
1089464583302066176,17,1,2.8
1089462266725044225,25,1,2.8
1089402873266487296,12,1,2.8
1089430767367790592,26,1,2.8
1089414562535878656,2,1,2.8
1089320675284828161,17,1,2.8
1090014091509465089,22,1,3.6
1089829215795593217,17,1,2.8
1089813925137395713,17,1,2.8
1089811151989411840,17,1,2.8
1090015822108651520,17,1,2.8
1090010312340836353,25,1,2.8
1089987000256598016,2,1,2.8
1089827134531608576,12,1,2.8
1089789165192073216,17,1,3.5
1089776048458190848,25,1,2.8
1090299248141316097,17,1,2.8
1090238549016797184,11,1,2.8
1091069139354030080,2,1,2.8
1090917622403813376,10,1,2.8
1090917384750288896,10,1,2.5
1091437350931128320,25,1,2.8
1091345118513299458,6,1,2.8
1091811759437033472,13,1,2.8
1091810572503535618,13,1,2.8
1091809340472856576,13,1,2.8
1091805151420186624,27,1,3.5
1091795178191507458,26,1,2.8
1091758145054142464,2,1,2.8
1091738563119591424,22,1,4.1
1091709149338054656,22,1,2.8
1091675271693062144,26,1,2.8
1091675171780546562,6,1,2.8
1092141700439515136,8,1,2.8
1092112448948260871,26,1,3.5
1092186813861638145,27,1,2.8
1092114968756002817,26,1,2.8
1092082302400806918,27,1,2.8
1091957798978703361,27,1,2.8
1092548674213896192,12,1,2.8
1092422327860645889,18,1,2.8
1092364348813660160,17,1,2.8
1092321253040553984,13,1,2.8
1092262160808464386,13,1,2.8
1092482684146929664,11,1,2.8
1092930159135678466,2,1,3.7
1092793047568535553,2,1,2.8
1092776441408831488,13,1,2.5
1093188790095626241,24,1,2.8
1093181643563720712,26,1,2.8
1092947328888197120,8,1,2.8
1093552595258478592,26,1,2.8
1093527716475727872,27,1,2.8
1093504640610717696,1,1,2.8
1093952806078369792,8,1,2.5
1093960843497299971,13,1,2.8
1093866700146126853,2,1,2.8
1093789128183943168,11,1,2.8
1094351639849431040,19,1,2.8
1094351005133754368,19,1,2.8
1094347292361011201,19,1,2.8
1094347202783252480,19,1,2.8
1094346781264101383,19,1,2.8
1094345941631545345,19,1,2.8
1094354784168103936,19,1,2.5
1094353434969550850,19,1,2.8
1094332469690728448,4,1,2.8
1094330318222438402,4,1,2.8
1094282872201068544,26,1,2.9
1094209922844241920,16,1,2.8
1094166021244682240,26,1,2.8
1094537548788105216,19,1,2.8
1094496491404709889,28,1,2.8
1094623508880154625,19,1,2.8
1094597142449131522,19,1,2.8
1094386063433441280,19,1,2.8
1095051164872101888,4,1,4.0
1095060560822132736,13,1,2.8
1095040062314762240,8,1,2.8
1095001754532564992,0,1,1.5
1095319533018062851,10,1,2.8
1095283111590391808,12,1,2.5
