ranking,candidate,score
1,@NXTGENOFFICIAL NXT GEN,258.613332752473
2,Jimmy Balito,205.110914294336
3,@NicoleRaquel_D Nicole Dennis,154.68461024447
4,@singmothrtucker SARAH TUCKER,124.472772306097
5,@RogerSamuels Roger Samuels,111.179563613213
6,@SwatPav Luke Swatman,110.410535011145
7,@EmmanuelSmith_ Emmanuel Smith,105.027334796671
8,Deana,100.193440726532
9,Marina Simioni,95.908852800726
10,@Butsy2001 Callum Butterworth,90.4157913573855
11,Eva Campbell,73.6070233407633
12,Stefan Mahendra,72.3985498232284
13,@GabrielDryss Gabriel Dryss,66.4660434644206
14,@thisismoya moya,65.1477087180189
15,@CraigForsyth_ Craig Forsyth,62.8406229118159
16,@iamcedricneal Cedric Neal,61.8518718520146
17,@remembermonday_,61.5222881654141
18,Bethzienna,60.9729820210801
19,@graceeelatchx Grace Latchford,31.5301726847748
20,@e2o_music,25.0483601816329
21,Ayanam Udoma,25.0483601816329
22,@XTINAELLINAS Christina Ellinas,21.532800857895
23,@HarrisenLM,21.0933559424277
24,@ItsNikkiAmbers,19.2257150516919
25,@hocking_molly Molly Hocking,14.7214046681527
26,@GeorgiaBray_,13.0734862351505
27,@Conniejlamb Connie Lamb,12.3044576330828
28,@shivonmusic Shivon Kane,9.22834322481212
29,@BukkyOronti Bucky Oronti,9.22834322481212
