ranking,candidate,score
1,Jimmy Balito,230.0494132471024
2,Deana,109.42178395134378
3,Marina Simioni,95.90885280072601
4,Eva Campbell,87.8889830934488
5,@RogerSamuels,86.9002320336475
6,Stefan Mahendra,72.39854982322841
7,@NicoleRaquel_D,70.2013252458922
8,@SwatPav,66.3561822355538
9,Bethzienna,64.92798626028527
10,@remembermonday_,61.52228816541413
11,@iamcedricneal,53.941863373604185
12,@NXTGENOFFICIAL,51.744638796267964
13,@EmmanuelSmith_,46.91074472612828
14,@singmothrtucker,42.73601802918947
15,Ayanam Udoma,31.200588998174318
16,@e2o_music,25.0483601816329
17,@HarrisenLM,24.169470350698415
18,@GabrielDryss,22.521551917696254
19,@ItsNikkiAmbers,19.22571505169192
20,@XTINAELLINAS,18.456686449624243
21,@GeorgiaBray_,13.073486235150504
22,@thisismoya,12.304457633082828
23,@Conniejlamb,9.228343224812122
24,@Butsy2001,9.228343224812122
25,@BukkyOronti,6.152228816541414
26,@graceeelatchx,6.152228816541414
27,@hocking_molly,3.076114408270707
28,@shivonmusic,3.076114408270707
