ranking,candidate,score
1,Jimmy Balito,224.55635180376186
2,@NicoleRaquel_D Nicole Dennis,194.34451386538876
3,@singmothrtucker SARAH TUCKER,154.90433270220356
4,@EmmanuelSmith_ Emmanuel Smith,117.33179242975417
5,Deana,109.42178395134378
6,Marina Simioni,95.90885280072601
7,@RogerSamuels,86.9002320336475
8,Eva Campbell,79.75925215730477
9,@thisismoya moya,74.37605194283103
10,@iamcedricneal Cedric Neal,73.60702334076335
11,Stefan Mahendra,72.39854982322841
12,@remembermonday_,61.52228816541413
13,Bethzienna,60.97298202108007
14,@SwatPav,57.12783901074169
15,@NXTGENOFFICIAL,51.744638796267964
16,Ayanam Udoma,31.200588998174318
17,@e2o_music,25.0483601816329
18,@HarrisenLM,24.169470350698415
19,@GabrielDryss,22.521551917696254
20,@hocking_molly Molly Hocking,20.873633484694086
21,@ItsNikkiAmbers,19.22571505169192
22,@XTINAELLINAS,18.456686449624243
23,@GeorgiaBray_,13.073486235150504
24,@Conniejlamb,9.228343224812122
25,@Butsy2001,9.228343224812122
26,@BukkyOronti,6.152228816541414
27,@graceeelatchx,6.152228816541414
28,@shivonmusic,3.076114408270707
