ranking,candidate,score
1,@NXTGENOFFICIAL NXT GEN,285.41947259597515
2,Jimmy Balito,220.27176387795618
3,@NicoleRaquel_D Nicole Dennis,190.49937085505036
4,@singmothrtucker SARAH TUCKER,143.25904244232157
5,@EmmanuelSmith_ Emmanuel Smith,135.89834010824524
6,@RogerSamuels Roger Samuels,126.12069073909906
7,@SwatPav Luke Swatman,121.28679666895937
8,Deana,102.28080407500104
9,@Butsy2001 Callum Butterworth,100.30330195539847
10,@iamcedricneal Cedric Neal,100.30330195539845
11,@remembermonday_,99.09482843786353
12,Stefan Mahendra,94.9201017409247
13,Marina Simioni,94.81024051205789
14,Bethzienna,80.63814198823925
15,Eva Campbell,79.9789746150384
16,@thisismoya moya,69.2125741860909
17,@GabrielDryss Gabriel Dryss,68.99285172835728
18,@CraigForsyth_ Craig Forsyth,62.401177996348615
19,@hocking_molly Molly Hocking,58.88561867261066
20,Ayanam Udoma,39.44018116318514
21,@graceeelatchx Grace Latchford,31.420311455907946
22,@e2o_music,27.465307216702744
23,@XTINAELLINAS Christina Ellinas,24.60891526616566
24,@HarrisenLM,22.741274375429875
25,@Conniejlamb Connie Lamb,21.20321717129452
26,@ItsNikkiAmbers,19.775021196025975
27,@GeorgiaBray_,16.149600643421213
28,@BukkyOronti Bucky Oronti,12.304457633082828
29,@shivonmusic Shivon Kane,9.228343224812122
