idTweet, clean_tweet, scoreImportance, idCandidat, smileyHappy, smileySad
817088303719542784,wow... candidate has given her verdict on candidate singing! thevoice ,1,-1,0,0
817000205396672512,2017: candidate insists the show will produce a star this year ,1,-1,0,0
816991663193202688,candidate sings well says candidate you heard it here first.... future oscar for pricey?!? thevoice ,1,-1,0,0
816985253948653568,candidate will be on todays candidate bloody love her! cant wait to see her on thevoice ,1,-1,0,0
816984527201533952,candidate revealed a shock twist in thevoice this morning ,1,-1,0,0
816977171604508672,we looking forward to seeing candidate on thevoice this saturday make sure you all tune in ,1,-1,0,0
816973285455896576,hang on to your seat! brand new: starts saturday at 8pm on tv3! this is going to be big! candidate candidate ,1,-1,0,0
816962465560817664,1  1  2 right? well thats the number of days left until launches!! the voice starts saturday 8pm candidate thevoice ,1,-1,0,0
816958181460955136,starts saturday at 8pm on tv3. join judges candidate candidate candidate and candidate in search of a superstar! ,1,-1,0,0
817109441912840192,hang on to your seat! brand new: starts saturday at 8pm on tv3! this is going to be big! candidate candidate ,1,-1,0,0
817059845928947712,new coach on gavin rossdale candidate ive definitely found the next superstar  ,1,-1,0,0
816999583943454721,candidate cant wait to watch you on ,1,-1,0,0
816939676384849920,incredible to have the legendary candidate on the lorraine sofa chatting all things thevoice ,1,-1,0,0
816935743331434496,favourite candidate record? go... thevoice ,1,-1,0,0
816935303801929728,candidate is in the building! we are beyond excited! thevoice ,1,-1,0,0
816908124036694016,candidate on thevoice red carpet with candidate ,1,-1,0,0
816904667036876801,today candidate is on candidate candidate is on candidate candidate is on candidate and candidate is on candidate ,1,-1,0,0
816904162239770624,today candidate is on candidate candidate is on candidate candidate is on candidate and candidate is on candidate ,1,-1,0,0
816854493094641664,candidate candidate all genres but eager 2 hear our rock scholar articulate his experiences. pierce my soul please. ,1,-1,0,0
816797677472071680,candidate looking amazing at press launch today in london ,1,-1,0,0
817473863139344385,24 hours to go until the allnew thevoice starts on candidate saturday 8:00pm. ,1,-1,0,0
817473300288995328,doesnt look as good without candidate theres no sparkle! ,1,-1,0,0
817451807895121923,new promo shot of candidate ahead of launch tomorrow! ,1,-1,0,0
817442410556891136,candidate premieres ,1,-1,0,0
817434417048096768,we officially love candidate will her background in talent shows be to her advantage on she tells us:  ,1,-1,0,0
817419802880806912,reviewing  getting proper tingles. candidate is a great addition ,1,-1,0,0
817419292622856192,candidate wipes the floor with candidate candidate candidate video  ,1,-1,0,0
817357024354824193,me and qbear love our candidate pizza! if only he could sing...we would enter the voice u.k. together! ,1,-1,0,0
