idTweet, clean_tweet, scoreImportance, idCandidat, smileyHappy, smileySad
949062065926344704,feeling good about the brand new series of were flying high candidate this sat night 8pm with candidate candidate ,1,-1,0,0
949049643568107521,the voice uk 2018 coaches perform feeling good via candidate this saturday at 8pm ,1,-1,0,0
949030713021648897,oh no candidate and candidate are no longer friends. olly opens up about their friendship ending after he left the to join  ,1,-1,0,0
948908228888420352,omg i canr wait for saturday the voice olly team murs team olly aghhhhh im cryinf candidate ,1,-1,0,0
948889769592803328,we cant wait for this! brand new: the voice uk with candidate candidate candidate  candidate . starts saturday at 8pm on tv3. ,1,-1,0,0
948874520986779648,can candidate walk away victorious from thevoice once again? she joins us with all the gossip from the new series very soon! ,1,-1,0,0
949011300117495808,wait  candidate auditioning for ,1,-1,0,0
948978594604306432,candidate relaunching music career on ,1,-1,0,0
948956212699287552,and jennifer hudson wouldnt have to buy candidate a new rope will young would keep his clothes on it would be all about the contestants if he was in the but will is so kind hearted if jennifer liked his unisex foot wear then l reckon will would buy it for her ,1,-1,0,0
948944807723962368,emma willis parades figure in plunging jumpsuit for the voice red carpet launch  as always is the only great thing about shes so beautiful looks like a lovely lady l also love the candidate that is it ,1,-1,0,0
948848975158874112,theres two days to go til the first episode of so heres an extraspecial gift from our candidate and candidate to get you in the mood  ,1,-1,0,0
948836264681369600,we loved catching up with the amazing judges including new recruit candidate  ,1,-1,0,0
949378071961980929,im 46 years old and totally not ashamed to admit to having a huge crush on candidate ,1,-1,0,0
949377603445706752,cant wait for thevoice how amazing was that preview?! saturday 8:00pm candidate ,1,-1,0,0
949372956177649664,we cant wait for this! brand new: the voice uk with candidate candidate candidate  candidate . starts saturday at 8pm on tv3. ,1,-1,0,0
949329741923995648,ever wonder what our coaches get up to between acts? take a trip into studio and watch this exclusive performance of sex bomb by the one and only candidate  pic.twitter.com4wbxrrsvfy ,1,-1,0,0
949318634811215873,candidate candidate candidate candidate thevoice ,1,-1,0,0
949309778379108358,a little bird told us that candidate is a right flirt on this year  but what does candidate reckon? ,1,-1,0,0
949305135343206401,you gotta bring your agame to make candidate heart skip a beat and push that button. starts tomorrow 8pm candidate thevoice ,1,-1,0,0
949285513973895168,we spoke to candidate who has been pranking candidate on the set of ! watch to find out what they have been up to. ,1,-1,0,0
949282184027918336,interview: candidate on the brand new series of  ,1,-1,0,0
949271340309274624,candidate is a cheeky one  candidate gave us the lowdown on the new thevoice including his fellow coaches!  ,1,-1,0,0
949266950886129664,preview! the voice uk is back tomorrow and the coaches are feeling good! candidate candidate candidate candidate ,1,-1,0,0
