idTweet, clean_tweet, scoreImportance, idCandidat, smileyHappy, smileySad
1081252009183985665,omg!! guys you have to check out this girl candidate person person person person ,1,26,0,0
1081670510755368960,maybe now people wont make comments next time they find out an understudy is performing? candidate ,1,8,0,0
1081665605797888000,did you watch tonight? want to see more of candidate only 10 tickets left for her solo gig at crazy coqs on 20th january! book your tickets here... ,1,8,0,0
1081680435392974848,if candidate is the understudy then daymn! what a voice!!! ,1,8,0,0
1081670537825435649,congratulations candidate  welcome to ,1,8,0,0
1081665513334419456,over the moon for our fabulous person and the candidate girls person  ,1,7,0,0
1081665020004585473,wow that was a sensational audition candidate ! what a powerhouse performance with person dynamic duo right there. ,1,8,0,0
1081664693100560385,if youre watching and want to see more of candidate then catch her person jan 20th for her first solo concert! ,1,8,0,0
1081661470318968833,welcome to the family molly hocking! also thanks for being the first to choose person we can relax now rewatch her performance of candidate cassidys you take my breath away here:  ,1,26,0,0
1081657847715381248,the voice: remember mondays candidate performance got 93 twitter likes in 30 minutes! ,1,7,0,0
1081650363428683776,candidate smashes it again loads of support from british acts and companies person person ,1,7,0,0
1081650015209177092,congratulations to our amazingly talented person and her group candidate you absolutely deserved that. person person ,1,7,0,0
1081987134200922118,just catching up with  thrilled to hear 3part harmonies!! theres something super magic about singing in a trio of amazing women it gives us goosebumps fo sho. well done candidate ,1,7,0,0
1081885938060529664,we cant stop watching this incredible moment with our very own candidate and person performing and i am telling you im not going together on person ,1,8,0,0
1081870248146624512,another good night night on person for uk country music getting four turns person ... well done guys candidate daddys lessons person person ,1,7,0,0
1082421187114872833,2019 episode 1: person and candidate get through blind auditions  we take a look at british country acts who have appeared on the voice uk  ,1,7,0,0
1082290204134858753,congratulations to person on  one third of candidate ,1,7,0,0
1082195467541319681,aaaaaand im telling you... candidate will be chatting all about her blind audition on person person in just a few minutes. tune in! ,1,8,0,0
1082359622365822976,little sister out here killing it candidate ,1,8,0,0
1082241697143246848,had a fantastic time this morning talking person with person it was great watching all the auditions this weekend. candidate absolutely smashed it! you can check the interview on my facebook page here  ,1,8,0,0
1082213722414821376,so agreemore talent in the first show of than the whole of the last series of loved candidate interviewed lonnie donegan many moons ago was a really lovely guy ,1,23,0,0
1082213311918297088,candidate you were absolutely incredible on person i love the song so much and im so happy you got ,1,8,0,0
1082132922918887425,amazing moment when person gets up on stage with candidate to belt out on the ,1,8,0,0
1082132021525209088,candidate omg! ok i know its the first show but my money is on to win 2019!  ,1,8,0,0
1082714582265856006,if theyre not otherwise engaged trio candidate are the star turns opening for person moving on tour thurs 21 feb 2019  the water rats london  tickets: ,1,7,0,0
1083476324117708800,if you missed candidate audition on watch it here . good luck to the girls from person ,1,7,0,0
1083352012429897728,check out hopeful candidate talk to person about music faith and why he decided to take part in the show. ,1,0,0,0
1083170606194049026,i still cannot get over how good candidate is. i really really hope she achieves her dreams and more. ,1,8,0,0
1083642418384261120,good luck to candidate in the next stage of their audition was amazing! person ,1,7,0,0
