id_tweet,id_candidate,score_importance,nb_smiley_happy,nb_smiley_unhappy,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5
1081252009183985665,26,1,0,0,0.7199637750163674,0.5204556866083294,0.244316068245098,0.9840133747784421,0.775537924375385,0.6202429621480405
1081670510755368960,8,1,0,0,0.007946069235913455,0.20745421259198338,0.9722260410198942,0.2561035029357299,0.04762793472036719,0.10766688303556293
1081665605797888000,8,1,0,0,0.22985340212471783,0.03034525876864791,0.7344264700077474,0.49390298093203455,0.2854274060809985,0.13013258832506835
1081680435392974848,8,1,0,0,0.39080805506091565,0.19129991170484573,0.5734718431485817,0.6548575523775071,0.4463820430682972,0.29108724126126617
1081670537825435649,8,1,0,0,0.22305779193993658,0.023549648583866656,0.7412220999831334,0.48710734373889863,0.2786317958962172,0.1233369781402871
1081665513334419456,7,1,0,0,0.6484846626408398,0.4489765439648181,0.3157952108886093,0.9125342040788382,0.7040587211959064,0.5487638781778514
1081665020004585473,8,1,0,0,0.40584412263706326,0.20633597928099334,0.5584357755724341,0.6698937363689765,0.46141812740825117,0.3061233088374138
1081664693100560385,8,1,0,0,0.2930007097311318,0.09349256637506187,0.6712791880127043,0.5570502410409972,0.34857471368741244,0.19327989593148232
1081661470318968833,26,1,0,0,0.3738739616237581,0.17436581826768816,0.5904059365857393,0.6379235036438331,0.4294479748932645,0.2741531478241086
1081657847715381248,7,1,0,0,0.0682759751798585,0.13123216817621142,0.8960039173252881,0.33232554886490107,0.12384997913613915,0.03144483861979097
1081650363428683776,7,1,0,0,0.4982378548011184,0.2987296881619841,0.4660420666914433,0.7622873223153874,0.5538118286058307,0.39851701771840453
1081650015209177092,7,1,0,0,0.41688041505403817,0.21737227169796824,0.5473994831554592,0.6809299635933712,0.47245442564599216,0.3171596012543887
1081987134200922118,7,1,0,0,0.18980341276619583,0.009704730589874089,0.7744764949893579,0.4538529785349965,0.24537741672247648,0.09008259896654636
1081885938060529664,8,1,0,0,0.3646240213420242,0.16511587798595428,0.5996558768674731,0.6286735633620992,0.4201980346115306,0.26490320754237473
1081870248146624512,7,1,0,0,0.2431191101204604,0.04361096676439047,0.7211607885546982,0.5071686474839225,0.29869311407674104,0.14339829632081091
1082421187114872833,7,1,0,0,0.3547665262594819,0.15525838290341198,0.6095133719500154,0.6188161092577502,0.4103405356872827,0.25504571245983243
1082290204134858753,7,1,0,0,0.619963412405923,0.42045527580194175,0.34431647905148566,0.8840129593154415,0.6755374297499657,0.5202426053583622
1082195467541319681,8,1,0,0,0.36573495785705745,0.16622681450098753,0.5985449403524399,0.6297845212975517,0.42130896740127355,0.266014144057408
1082359622365822976,8,1,0,0,0.030150027596391737,0.16935811575967818,0.9341299989027902,0.2941995944129303,0.08572403155267239,0.06957078620325774
1082241697143246848,8,1,0,0,0.3499877015128732,0.15047955815680325,0.6142921966966242,0.6140372696099803,0.4055617054691538,0.2502668877132237
1082213722414821376,23,1,0,0,0.3736789950635284,0.1741708517074585,0.5906009031459689,0.6377284914487973,0.4292530231177807,0.27395818126387894
1082213311918297088,8,1,0,0,0.5510521966498345,0.3515440260525793,0.4132277288008481,0.8151016872143373,0.6066261595115066,0.45133135560899973
1082132922918887425,8,1,0,0,0.5021308767609298,0.3026227371301502,0.4621490177232772,0.7661803247174248,0.5577049320563674,0.40241006668657064
1082132021525209088,8,1,0,0,0.3815240552648902,0.18201591190882027,0.5827558429446071,0.6455736336065456,0.4370980536332354,0.2818032414652407
1082714582265856006,7,1,0,0,0.28194947401061654,0.08244133065454662,0.6823304241988808,0.5459989601513371,0.3375234779668972,0.18222866021096706
1083476324117708800,7,1,0,0,0.43812086060643196,0.23861271725036204,0.5261590376030654,0.7021703942446038,0.4936948383692652,0.3384000468067825
